option_set_id,decision,products_mapped,native_products,globo_dependent_products,inactive_products,first_labels
1015664,DELETE (no product still needs it),1,0,0,1,3D sign 1 | Personalisation | Would you like to add mounting strips? | **INCREDIBLE OFFER** GET A 2ND SIGN FOR £19.95!
1017129,DELETE (no product still needs it),1,0,0,1,Tradie sign 1 | Colour of Van | Personalisation text line 1 | Personalisation text line 2
1022116,KEEP for now,1,0,1,0,Planner 1 | Colour of Planner | Number rows to appear (up to 10) | Size of Planner
1030527,KEEP for now,1,0,1,0,Picture 1 | Configuration of pebble people | **INCREDIBLE OFFER** Buy a second frame for just £9.95 | Picture 2
1030529,KEEP for now,1,0,1,0,Picture 1 | Colour of Balloon | **INCREDIBLE OFFER** Buy a second frame for just £9.95 | Picture 2
1030531,KEEP for now,1,0,1,0,Picture 1 | Moon & Stars Colour | **INCREDIBLE OFFER** Buy a second frame for just £9.95 | Picture 2
1054477,DELETE (no product still needs it),1,0,0,1,Sign 1 | Message to appear beneath 'NO.1 D4D' | **INCREDIBLE OFFER** GET A 2ND SIGN FOR FREE! | Sign 2
1054481,DELETE (no product still needs it),1,0,0,1,Sign 1 | Football Team | **INCREDIBLE OFFER** GET A 2ND SIGN FOR FREE! | Sign 2
1072739,DELETE (no product still needs it),1,0,0,1,Street sign 1 | Colour of Boarder | Personalisation text line 1 | Personalisation text line 2
1076275,DELETE (no product still needs it),1,0,0,1,Group
1087953,DELETE (no product still needs it),1,0,0,1,Group
1088441,KEEP for now,1,0,1,0,Group
1088470,DELETE (no product still needs it),1,0,0,1,Group
1088534,KEEP for now,1,0,1,0,Group
1088566,KEEP for now,1,0,1,0,Group
1088680,DELETE (no product still needs it),1,0,0,1,Group
1089992,DELETE (no product still needs it),1,1,0,0,Group
1092054,DELETE (no product still needs it),1,0,0,1,Group
1093712,KEEP for now,1,0,1,0,Group
1094165,DELETE (no product still needs it),1,1,0,0,Group
1095197,KEEP for now,1,0,1,0,Group
1096591,DELETE (no product still needs it),1,0,0,1,Group
1155172,DELETE (no product still needs it),1,0,0,1,Group
1155181,DELETE (no product still needs it),1,0,0,1,Group
1156040,DELETE (no product still needs it),1,1,0,0,Group
1182233,DELETE (no product still needs it),1,1,0,0,Group
1156041,KEEP for now,1,0,1,0,Group
1182160,KEEP for now,1,0,1,0,Group
1156058,KEEP for now,1,0,1,0,Group
1182281,KEEP for now,1,0,1,0,Group
1156087,KEEP for now,1,0,1,0,Group
1182251,KEEP for now,1,0,1,0,Group
1167032,DELETE (no product still needs it),1,1,0,0,Group
1181692,DELETE (no product still needs it),1,1,0,0,Group
1167034,KEEP for now,1,0,1,0,Group
1178638,KEEP for now,1,0,1,0,Group
1167039,KEEP for now,1,0,1,0,Group
1181697,KEEP for now,1,0,1,0,Group
1167062,KEEP for now,1,0,1,0,Group
1181804,KEEP for now,1,0,1,0,Group
1167875,DELETE (no product still needs it),1,0,0,1,Group
1168027,KEEP for now,1,0,1,0,Group
1182255,KEEP for now,1,0,1,0,Group
1168051,KEEP for now,1,0,1,0,Group
1168058,KEEP for now,1,0,1,0,Group
1182264,KEEP for now,1,0,1,0,Group
1182315,DELETE (no product still needs it),1,0,0,1,Group
1182327,DELETE (no product still needs it),1,0,0,1,Group
1182331,DELETE (no product still needs it),1,0,0,1,Group
1182335,DELETE (no product still needs it),1,0,0,1,Group
1182349,DELETE (no product still needs it),1,0,0,1,Group
1182354,DELETE (no product still needs it),1,0,0,0,Group
1182358,DELETE (no product still needs it),1,0,0,0,Group
1182366,DELETE (no product still needs it),1,0,0,0,Group
1182380,DELETE (no product still needs it),1,0,0,0,Group
1182385,DELETE (no product still needs it),1,0,0,0,Group
1186847,DELETE (no product still needs it),1,0,0,1,Group
1186848,DELETE (no product still needs it),1,0,0,1,Group
1186861,DELETE (no product still needs it),1,1,0,0,Group
1186954,DELETE (no product still needs it),1,0,0,1,Group
1186965,DELETE (no product still needs it),1,0,0,1,Group
1187430,DELETE (no product still needs it),1,1,0,0,Group
1196844,DELETE (no product still needs it),1,1,0,0,Group
1208289,DELETE (no product still needs it),1,0,0,1,Group
1208342,DELETE (no product still needs it),1,0,0,1,Group
1268509,KEEP for now,1,0,1,0,Group
1268544,KEEP for now,1,0,1,0,Group
1268566,KEEP for now,1,0,1,0,Group
1268576,KEEP for now,1,0,1,0,Group
1268595,DELETE (no product still needs it),1,0,0,1,Group
1395520,DELETE (no product still needs it),1,1,0,0,Group
1454088,KEEP for now,1,0,1,0,Group
1479929,DELETE (no product still needs it),1,1,0,0,Group
1487823,DELETE (no product still needs it),1,1,0,0,Group
1515284,KEEP for now,1,0,1,0,Section
1014551,DELETE (no products mapped),0,0,0,0,Triple Breakfast Collection - April Fools Special | Beans Signs | Bacon Sign | Egg sign
1091164,DELETE (no products mapped),0,0,0,0,Group
1092076,DELETE (no products mapped),0,0,0,0,Group
1092668,DELETE (no products mapped),0,0,0,0,Group
1150957,DELETE (no products mapped),0,0,0,0,Group
1156061,DELETE (no products mapped),0,0,0,0,Group
1167088,DELETE (no products mapped),0,0,0,0,Group
767519,DELETE (no products mapped),0,0,0,0,Group
